44772,STARLINK-1068,2025-12-14T00:00:04.000320,2025-12-14T13:04:14.456627,53.0556,230.8647,0.0001302,90.1453,45.3196,15.19883124,45027-1,579,1 44772U 19074BM  25348.00004630  .01055868  00000+0  45027-1 0  9991,2 44772  53.0556 230.8647 0001302  90.1453  45.3196 15.19883124  5799
44925,STARLINK-1112,2025-12-14T00:00:04.000320,2025-12-14T13:04:14.456627,53.0479,312.8407,0.0008023,44.0263,337.299,15.65133037,16727-2,584,1 44925U 20001M   25348.00004630  .00171479  00000+0  16727-2 0  9995,2 44925  53.0479 312.8407 0008023  44.0263 337.2990 15.65133037  5845
44927,STARLINK-1114,2025-12-13T10:59:03.046560,2025-12-14T13:04:14.456627,53.0549,13.7302,0.0001521,105.1671,254.9486,15.06385585,86140-3,32685,1 44927U 20001P   25347.45767415  .00012567  00000+0  86140-3 0  9991,2 44927  53.0549  13.7302 0001521 105.1671 254.9486 15.06385585326858
44930,STARLINK-1123,2025-12-13T19:17:56.413824,2025-12-14T13:04:14.456627,53.0561,12.1746,0.0001444,84.6473,275.4681,15.06386794,-25485-3,32690,1 44930U 20001S   25347.80412516 -.00004074  00000+0 -25485-3 0  9994,2 44930  53.0561  12.1746 0001444  84.6473 275.4681 15.06386794326900
44933,STARLINK-1144,2025-12-14T00:00:04.000320,2025-12-14T13:04:14.456627,53.0421,287.2426,0.0002763,114.6139,110.3278,15.74815254,84581-3,581,1 44933U 20001V   25348.00004630  .00128630  00000+0  84581-3 0  9999,2 44933  53.0421 287.2426 0002763 114.6139 110.3278 15.74815254  5812
44941,STARLINK-1094,2025-12-13T18:00:59.774112,2025-12-14T13:04:14.456627,53.0559,352.4164,0.0001513,81.8826,278.2334,15.0639202,-94203-4,32717,1 44941U 20001AD  25347.75069183 -.00001684  00000+0 -94203-4 0  9997,2 44941  53.0559 352.4164 0001513  81.8826 278.2334 15.06392020327176
44949,STARLINK-1122,2025-12-13T10:35:08.625120,2025-12-14T13:04:14.456627,53.0564,353.8016,0.0001657,87.5992,272.5187,15.06392702,37465-3,32712,1 44949U 20001AM  25347.44107205  .00005302  00000+0  37465-3 0  9994,2 44949  53.0564 353.8016 0001657  87.5992 272.5187 15.06392702327122
44961,STARLINK-1080,2025-12-13T23:16:50.045088,2025-12-14T13:04:14.456627,53.0557,331.4292,0.000172,91.8074,268.3112,15.06366899,93426-4,32749,1 44961U 20001AZ  25347.97002367  .00001109  00000+0  93426-4 0  9990,2 44961  53.0557 331.4292 0001720  91.8074 268.3112 15.06366899327495
44968,STARLINK-1090,2025-12-13T23:22:06.395232,2025-12-14T13:04:14.456627,53.0568,331.4119,0.000146,103.7058,256.4094,15.0639924,27400-3,32749,1 44968U 20001BG  25347.97368513  .00003802  00000+0  27400-3 0  9995,2 44968  53.0568 331.4119 0001460 103.7058 256.4094 15.06399240327491
45044,STARLINK-1132,2025-12-13T23:59:15.308736,2025-12-14T13:04:14.456627,53.0577,291.299,0.0001397,91.4443,268.6706,15.06410838,-88326-4,32382,1 45044U 20006A   25347.99948274 -.00001597  00000+0 -88326-4 0  9992,2 45044  53.0577 291.2990 0001397  91.4443 268.6706 15.06410838323822
45047,STARLINK-1131,2025-12-13T15:27:09.925632,2025-12-14T13:04:14.456627,53.0563,313.4351,0.0001436,93.7209,266.3944,15.06394235,11064-3,32348,1 45047U 20006D   25347.64386488  .00001367  00000+0  11064-3 0  9997,2 45047  53.0563 313.4351 0001436  93.7209 266.3944 15.06394235323480
45048,STARLINK-1134,2025-12-13T23:35:46.219776,2025-12-14T13:04:14.456627,53.036,282.3723,0.0004473,1.2717,358.8294,15.32770443,58166-3,32395,1 45048U 20006E   25347.98317384  .00018346  00000+0  58166-3 0  9993,2 45048  53.0360 282.3723 0004473   1.2717 358.8294 15.32770443323950
45054,STARLINK-1156,2025-12-13T21:06:46.156896,2025-12-14T13:04:14.456627,53.0555,311.8345,0.0001477,88.5743,271.5415,15.06391003,47437-3,32352,1 45054U 20006L   25347.87970089  .00006790  00000+0  47437-3 0  9994,2 45054  53.0555 311.8345 0001477  88.5743 271.5415 15.06391003323520
45057,STARLINK-1159,2025-12-13T23:25:20.834976,2025-12-14T13:04:14.456627,53.0533,297.4238,0.0006852,70.1968,289.9781,15.56732214,53448-3,32374,1 45057U 20006P   25347.97593559  .00038622  00000+0  53448-3 0  9999,2 45057  53.0533 297.4238 0006852  70.1968 289.9781 15.56732214323748
45060,STARLINK-1166,2025-12-13T15:21:45.457344,2025-12-14T13:04:14.456627,53.0551,312.9116,0.0001499,85.1513,274.9648,15.06396703,16899-3,32349,1 45060U 20006S   25347.64010946  .00002236  00000+0  16899-3 0  9992,2 45060  53.0551 312.9116 0001499  85.1513 274.9648 15.06396703323496
45061,STARLINK-1169,2025-12-13T21:54:30.811968,2025-12-14T13:04:14.456627,53.0555,311.6869,0.0001364,79.0658,281.0485,15.06421196,-46311-3,32353,1 45061U 20006T   25347.91285662 -.00007177  00000+0 -46311-3 0  9995,2 45061  53.0555 311.6869 0001364  79.0658 281.0485 15.06421196323533
45062,STARLINK-1171,2025-12-14T00:00:04.000320,2025-12-14T13:04:14.456627,53.0536,299.8166,0.0012658,63.3529,250.9881,15.4023736,15726-2,579,1 45062U 20006U   25348.00004630  .00064505  00000+0  15726-2 0  9992,2 45062  53.0536 299.8166 0012658  63.3529 250.9881 15.40237360  5797
45064,STARLINK-1133,2025-12-13T20:16:20.453088,2025-12-14T13:04:14.456627,53.0547,291.9926,0.0001309,95.3578,264.7561,15.0639006,10641-2,32380,1 45064U 20006W   25347.84468117  .00015599  00000+0  10641-2 0  9999,2 45064  53.0547 291.9926 0001309  95.3578 264.7561 15.06390060323800
45071,STARLINK-1167,2025-12-14T00:04:33.409344,2025-12-14T13:04:14.456627,53.0565,291.2775,0.0002116,128.5933,231.5246,15.06388332,-34102-3,32382,1 45071U 20006AD  25348.00316446 -.00005356  00000+0 -34102-3 0  9994,2 45071  53.0565 291.2775 0002116 128.5933 231.5246 15.06388332323827
45072,STARLINK-1168,2025-12-14T00:09:53.250912,2025-12-14T13:04:14.456627,53.0547,291.2617,0.0001268,90.1555,269.9579,15.0641588,72524-3,32382,1 45072U 20006AE  25348.00686633  .00010542  00000+0  72524-3 0  9994,2 45072  53.0547 291.2617 0001268  90.1555 269.9579 15.06415880323827
45074,STARLINK-1172,2025-12-13T13:17:02.044896,2025-12-14T13:04:14.456627,53.0557,293.3016,0.0001362,97.6765,262.4379,15.06389898,30002-4,32375,1 45074U 20006AG  25347.55349589  .00000165  00000+0  30002-4 0  9997,2 45074  53.0557 293.3016 0001362  97.6765 262.4379 15.06389898323753
45080,STARLINK-1153,2025-12-13T23:53:57.111360,2025-12-14T13:04:14.456627,53.056,291.3126,0.0001385,93.5455,266.5693,15.06403763,23597-3,32382,1 45080U 20006AN  25347.99579990  .00003235  00000+0  23597-3 0  9994,2 45080  53.0560 291.3126 0001385  93.5455 266.5693 15.06403763323820
45081,STARLINK-1151,2025-12-14T00:00:04.000320,2025-12-14T13:04:14.456627,53.0542,290.6929,0.0001563,78.3154,14.9476,15.20657026,70383-1,549,1 45081U 20006AP  25348.00004630  .01710292  00000+0  70383-1 0  9994,2 45081  53.0542 290.6929 0001563  78.3154  14.9476 15.20657026  5492
45087,STARLINK-1185,2025-12-13T22:58:13.662912,2025-12-14T13:04:14.456627,53.0553,271.486,0.0001281,92.8173,267.2963,15.06419245,87661-3,32410,1 45087U 20006AV  25347.95710258  .00012806  00000+0  87661-3 0  9997,2 45087  53.0553 271.4860 0001281  92.8173 267.2963 15.06419245324109
45088,STARLINK-1183,2025-12-13T23:30:04.552704,2025-12-14T13:04:14.456627,53.0558,271.39,0.0001525,89.9003,270.2161,15.06428825,78330-3,32410,1 45088U 20006AW  25347.97921936  .00011414  00000+0  78330-3 0  9994,2 45088  53.0558 271.3900 0001525  89.9003 270.2161 15.06428825324107
45093,STARLINK-1142,2025-12-14T00:00:04.000320,2025-12-14T13:04:14.456627,53.0211,183.7019,0.0009286,220.3506,247.6822,15.91525443,20687-2,582,1 45093U 20006BB  25348.00004630  .00684161  19861-3  20687-2 0  9993,2 45093  53.0211 183.7019 0009286 220.3506 247.6822 15.91525443  5822
45096,STARLINK-1152,2025-12-14T00:13:41.266560,2025-12-14T13:04:14.456627,53.0436,247.3933,0.0005038,48.2106,311.9322,15.283363,14508-2,32444,1 45096U 20006BE  25348.00950540  .00040458  00000+0  14508-2 0  9997,2 45096  53.0436 247.3933 0005038  48.2106 311.9322 15.28336300324444
45098,STARLINK-1184,2025-12-13T19:04:37.874784,2025-12-14T13:04:14.456627,53.0556,272.2153,7.05e-05,90.6184,269.4886,15.06522978,39617-2,32407,1 45098U 20006BG  25347.79488281  .00059424  00000+0  39617-2 0  9993,2 45098  53.0556 272.2153 0000705  90.6184 269.4886 15.06522978324078
45100,STARLINK-1193,2025-12-13T23:46:00.444288,2025-12-14T13:04:14.456627,53.0535,271.3376,0.0001446,85.9901,274.1253,15.06418243,10515-2,32410,1 45100U 20006BJ  25347.99028292  .00015423  00000+0  10515-2 0  9998,2 45100  53.0535 271.3376 0001446  85.9901 274.1253 15.06418243324107
45179,STARLINK-1143,2025-12-14T00:00:04.000320,2025-12-14T13:04:14.456627,53.0528,23.5813,0.0002047,192.0865,359.3869,15.46425446,24717-2,580,1 45179U 20012B   25348.00004630  .00125943  00000+0  24717-2 0  9992,2 45179  53.0528  23.5813 0002047 192.0865 359.3869 15.46425446  5804
45183,STARLINK-1202,2025-12-13T15:42:58.475808,2025-12-14T13:04:14.456627,53.0552,72.847,0.0001277,92.0035,268.11,15.06406555,18533-3,32187,1 45183U 20012F   25347.65484347  .00002481  00000+0  18533-3 0  9995,2 45183  53.0552  72.8470 0001277  92.0035 268.1100 15.06406555321873
45185,STARLINK-1216,2025-12-13T23:30:05.211072,2025-12-14T13:04:14.456627,53.0547,71.3859,0.0001473,97.1336,262.9821,15.06380772,-54211-4,32186,1 45185U 20012H   25347.97922698 -.00001088  00000+0 -54211-4 0  9996,2 45185  53.0547  71.3859 0001473  97.1336 262.9821 15.06380772321865
45187,STARLINK-1225,2025-12-13T15:58:53.817888,2025-12-14T13:04:14.456627,53.0554,72.7936,0.0001528,95.1265,264.9899,15.06407862,15466-3,32186,1 45187U 20012K   25347.66590067  .00002023  00000+0  15466-3 0  9991,2 45187  53.0554  72.7936 0001528  95.1265 264.9899 15.06407862321863
